First Name,Last Name,Gender,Team,Car,Nationality,DOB,Reliability,Performance,Concentration,Chemistry,Pit Stops,Part Fixes,Wages,Mechanic Bonuses,Relationship With Driver,Weeks Together,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Pete,Bonnington,M,2,1,UK,24/09/1981,19.75,19.75,19.4,19.5,19.5,19.5,3.67,2;10,100,150,2007,2019,1,1,9,9,0,0,0,16,38,55,2,150,34,72,40,19,9,0,1529,2,4.666666667
Riccardo,Musconi,M,,,Italy,26/01/1978,18.5,18.5,18,17.5,18.5,19.5,,10;18,,,,,2,1,3,5,0,0,3,19,45,54,2,168,8,28,15,27,15,0,921,0,3.708333333
Giampiero,Lambiase,M,3,1,UK,26/06/1983,19.8,19.8,19.8,19.9,19.5,19.25,3.33,2;20,100,150,2010,2019,4,0,8,2,0,0,0,0,50,56,3,21,0,0,0,5,2,0,10,0,4.25
Hugh,Bird,M,3,2,UK,24/02/1983,17.5,17.5,15,14.5,17.5,19.75,2,2;9,50,50,2015,2019,4,1,7,6,1,0,5,0,50,55,4,71,3,8,0,8,6,0,277,0,4.583333333
James,Urwin,M,4,2,UK,11/12/1980,14,15,13.5,11.5,19,16.5,1.94,10;20,50,50,2011,2019,1,0,10,1,1,1,0,0,50,50,3,40,0,6,0,3,1,0,200,0,3.875
Paul,Williams,M,,,UK,27/01/1988,15.5,14,13.5,12.5,17.5,16.5,,9;10,,,,,1,0,3,2,0,0,5,4,56,51,2,214,11,39,16,31,16,0,970,0,4.25
Xavier,Marcos,M,5,1,Spain,12/09/1981,16.5,17.8,16.5,18.5,19,18.5,0.92,2;19,100,100,2011,2023,2,0,8,7,2,0,1,15,10,50,5,215,20,77,16,45,14,0,1036,1,4.125
Riccardo,Adami,M,5,2,Italy,22/12/1975,19,18.5,18,19.8,19.5,19.5,1.5,2;10,100,150,2011,2019,3,0,3,8,0,0,11,20,40,50,4,141,40,68,45,21,10,0,1658,4,3.833333333
Will,Joseph,M,6,2,UK,18/01/1988,17.5,18.5,18.5,18.5,18.5,18.5,0.58,10;20,75,50,2011,2019,4,1,5,5,0,0,4,14,65,53,4,237,32,97,22,35,24,0,1767,2,3.166666667
Tom,Stallard,M,6,1,UK,09/06/1978,17.5,18.9,19.5,19,19.5,19.5,0.58,9;20,75,50,2008,2019,5,0,10,6,0,0,1,0,50,57,3,270,15,50,8,50,11,0,1198,1,3.166666667
Tim,Wright,M,,,UK,18/11/1985,19,18,18.8,15.5,18.5,18.5,,10;12,,,,,1,0,10,6,0,0,1,50,25,45,5,79,0,0,1,9,4,0,238,0,4.25
Bradley,Joyce,M,,,UK,04/09/1977,18.5,16.5,17.5,18.5,14.5,18.5,,10;18,,,,,3,0,2,7,3,1,3,10,5,50,5,79,0,4,0,12,3,0,189,0,4.041666667
